sum_payment_value,sum_price,total_payments,avg_review_score,payments_review_interaction,price_payments_interaction,is_discounted,sales_roll_mean_7,sales_roll_mean_30,orders_roll_mean_7,orders_roll_mean_30,year,month,day_of_week,is_weekend,state_freq_enc,city_freq_enc,order_purchase_timestamp
136.23,72.89,1,1.0,1.0,72.89,0,136.23,136.23,1.0,1.0,2016,9,6,1,0.0004625858549290534,0.0004525296406914653,2016-09-04 21:15:19
75.06,59.5,1,1.0,1.0,59.5,0,105.645,105.645,1.0,1.0,2016,9,0,0,0.05496726702265665,0.0011363522088474573,2016-09-05 00:15:34
40.95,0.0,1,1.0,1.0,0.0,0,84.08,84.08,1.0,1.0,2016,9,1,0,0.41980671956235355,0.006948844038173389,2016-09-13 15:24:19
0.0,134.97,0,1.0,0.0,0.0,1,63.06,63.06,1.0,1.0,2016,9,3,0,0.41980671956235355,0.000341911284077996,2016-09-15 12:16:38
109.34,100.0,1,1.0,1.0,100.0,0,72.316,72.316,1.0,1.0,2016,10,6,1,0.41980671956235355,0.15627356925211935,2016-10-02 22:07:52
45.46,29.9,1,4.0,4.0,29.9,0,159.45333333333335,159.45333333333335,2.1666666666666665,2.1666666666666665,2016,10,0,0,0.41980671956235355,0.15627356925211935,2016-10-03 09:44:50
39.09,21.9,1,4.0,4.0,21.9,0,159.45333333333335,159.45333333333335,2.1666666666666665,2.1666666666666665,2016,10,0,0,0.05496726702265665,0.000170955642038998,2016-10-03 16:56:50
35.61,21.5,1,1.0,1.0,21.5,0,159.45333333333335,159.45333333333335,2.1666666666666665,2.1666666666666665,2016,10,0,0,0.12924246538148249,0.06920686638308142,2016-10-03 21:01:41
53.73,36.49,1,3.0,3.0,36.49,0,159.45333333333335,159.45333333333335,2.1666666666666665,2.1666666666666665,2016,10,0,0,0.05496726702265665,0.013867519433634014,2016-10-03 21:13:36
133.46,119.9,1,1.0,1.0,119.9,0,159.45333333333335,159.45333333333335,2.1666666666666665,2.1666666666666665,2016,10,0,0,0.41980671956235355,0.0014581510644502771,2016-10-03 22:06:03
40.95,29.99,1,5.0,5.0,29.99,0,159.45333333333335,159.45333333333335,2.1666666666666665,2.1666666666666665,2016,10,0,0,0.41980671956235355,0.0027151778441487917,2016-10-03 22:31:31
154.57,128.9,1,5.0,5.0,128.9,0,159.45333333333335,159.45333333333335,2.1666666666666665,2.1666666666666665,2016,10,0,0,0.020313552759927998,7.039349966311682e-05,2016-10-03 22:44:10
92.27,74.9,1,1.0,1.0,74.9,0,159.45333333333335,159.45333333333335,2.1666666666666665,2.1666666666666665,2016,10,0,0,0.11700405265433775,0.001719612634627568,2016-10-03 22:51:30
65.5,49.99,1,5.0,5.0,49.99,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.41980671956235355,0.003248157198740962,2016-10-04 09:06:10
44.23,32.49,1,5.0,5.0,32.49,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.41980671956235355,0.15627356925211935,2016-10-04 09:16:33
114.77,89.9,1,1.0,1.0,89.9,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.41980671956235355,0.15627356925211935,2016-10-04 09:59:03
50.74,0.0,1,2.0,2.0,0.0,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.41980671956235355,0.0018402872054786256,2016-10-04 10:05:45
237.45,189.0,1,5.0,5.0,189.0,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.009804808881648414,0.0008849468529077544,2016-10-04 10:16:04
214.98,199.0,1,5.0,5.0,199.0,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.03657445118210798,4.022485695035247e-05,2016-10-04 10:41:17
178.11,148.0,1,5.0,5.0,148.0,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.004877263905230237,0.0006335414969680514,2016-10-04 11:03:14
349.40999999999997,0.0,1,1.0,1.0,0.0,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.009120986313492422,0.0004625858549290534,2016-10-04 11:44:01
319.0,299.99,1,1.0,1.0,299.99,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.11700405265433775,0.02788588208083185,2016-10-04 12:06:11
18.62,9.9,1,5.0,5.0,9.9,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.41980671956235355,0.15627356925211935,2016-10-04 12:53:17
177.2,164.0,1,2.0,2.0,164.0,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.41980671956235355,0.006948844038173389,2016-10-04 13:02:10
101.44,47.8,1,5.0,5.0,47.8,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.009120986313492422,0.002493941130921853,2016-10-04 13:11:29
267.49,249.9,1,3.0,3.0,249.9,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.11700405265433775,0.02788588208083185,2016-10-04 13:15:46
144.94,128.9,1,3.0,3.0,128.9,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.41980671956235355,0.0009352279240956949,2016-10-04 13:15:52
177.28,149.9,1,5.0,5.0,149.9,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.01661286592049557,3.0168642712764353e-05,2016-10-04 13:16:57
86.87999999999998,67.9,7,5.0,35.0,475.30000000000007,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.12924246538148249,0.06920686638308142,2016-10-04 13:22:56
119.43,99.9,1,4.0,4.0,99.9,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.020444283545016644,0.0012268581369857504,2016-10-04 13:30:13
202.77,189.9,1,1.0,1.0,189.9,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.41980671956235355,0.0006234852827304633,2016-10-04 13:38:37
107.41,89.9,1,5.0,5.0,89.9,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.12924246538148249,0.00411299162317354,2016-10-04 13:40:43
349.40999999999997,307.25,1,5.0,5.0,307.25,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.11700405265433775,0.0021218612041310927,2016-10-04 13:45:08
111.51,93.9,1,3.0,3.0,93.9,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.12924246538148249,0.06920686638308142,2016-10-04 14:13:22
62.33,39.99,1,5.0,5.0,39.99,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.05496726702265665,0.0006234852827304633,2016-10-04 14:23:50
267.49,249.9,1,5.0,5.0,249.9,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.41980671956235355,0.0023531541315956195,2016-10-04 14:44:33
263.93,249.9,1,5.0,5.0,249.9,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.12924246538148249,0.06920686638308142,2016-10-04 14:49:13
252.19,239.9,1,1.0,1.0,239.9,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.05496726702265665,0.00048269828340422966,2016-10-04 14:51:15
40.15,22.37,1,1.0,1.0,22.37,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.11700405265433775,0.0006033728542552871,2016-10-04 15:02:37
149.54,119.8,1,1.0,1.0,119.8,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.03657445118210798,6.033728542552871e-05,2016-10-04 15:02:53
277.81,249.9,1,4.0,4.0,249.9,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.013435102221417725,0.0065767641113826285,2016-10-04 15:07:21
117.86,89.9,1,5.0,5.0,89.9,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.41980671956235355,0.0027855713438119088,2016-10-04 15:10:15
87.57,69.99,1,5.0,5.0,69.99,0,1573.6028571428571,1573.6028571428571,10.857142857142858,10.857142857142858,2016,10,1,0,0.41980671956235355,0.15627356925211935,2016-10-04 15:12:18
